GEOID,unique_id,race_imputed,imputation_probability,date,city,state,zip,county,highest_force,armed,Total_popE,NH_WhiteE,NH_BlackE,Hisp_LatinoE,IncomeE,income_quartile,income_quintile,income_percentile,income_bins_200,NH_WhiteP,NH_BlackP,Hisp_LatinoP,Majority
06037504200,29097,Other/Unknown,,2020-11-09,Santa Fe Springs,CA,90670,Los Angeles,Gunshot,Armed,7291,700,298,5233,54522,2,2,39,77,0.09600877794541215,0.040872308325332604,0.7177341928404882,Hispanic/Latino
53033032319,29099,White,0.887547,2020-11-09,Woodinville,WA,98072,King,Gunshot,Armed,6515,5150,65,549,86806,4,4,76,152,0.7904834996162702,0.009976976208749041,0.08426707597851113,White
18163001700,29093,Black,,2020-11-08,Evansville,IN,47713,Vanderburgh,Gunshot,Armed,1748,1403,236,81,35250,1,1,11,21,0.8026315789473685,0.13501144164759726,0.04633867276887872,White
47021070402,29092,White,0.983359,2020-11-08,Kingston Springs,TN,37082,Cheatham,Gunshot,Armed,6662,6327,60,67,77383,3,4,68,136,0.9497148003602521,0.009006304413089163,0.010057039927949565,White
35047957200,29094,Hispanic/Latino,,2020-11-08,Las Vegas,NM,87701,San Miguel,Gunshot,Unarmed,3657,525,0,2964,32241,1,1,8,16,0.1435602953240361,0,0.8105004101722724,Hispanic/Latino
35047957200,29095,Hispanic/Latino,,2020-11-08,Las Vegas,NM,87701,San Miguel,Gunshot,Unarmed,3657,525,0,2964,32241,1,1,8,16,0.1435602953240361,0,0.8105004101722724,Hispanic/Latino
37081014200,29155,Black,,2020-11-08,High Point,NC,27260,Guilford,Gunshot,Armed,4503,1211,2250,375,35058,1,1,11,21,0.2689318232289585,0.4996668887408394,0.0832778147901399,
13135050764,29089,Hispanic/Latino,0.732145,2020-11-07,Lilburn,GA,30047,Gwinnett,Gunshot,Armed,2607,1319,698,139,80668,3,4,71,142,0.5059455312619869,0.26774069812044493,0.05331799002685079,White
30063000801,29090,White,,2020-11-07,Missoula,MT,59801,Missoula,Gunshot,Armed,3315,3060,0,184,37095,1,1,13,25,0.9230769230769231,0,0.055505279034690796,White
04025001705,29091,White,,2020-11-07,Sedona,AZ,86351,Yavapai,Gunshot,Armed,3809,3330,40,325,68053,3,3,58,115,0.8742452087161985,0.010501443948542924,0.08532423208191127,White
06071003803,29088,Hispanic/Latino,0.997132,2020-11-06,Rialto,CA,92376,San Bernardino,Gunshot,Armed,5407,434,530,4249,65847,3,3,55,110,0.08026632143517662,0.09802108378028482,0.7858331792121325,Hispanic/Latino
13121003500,29152,Black,,2020-11-06,Atlanta,GA,30303,Fulton,Gunshot,Uncertain,2468,598,1615,46,51474,2,2,33,66,0.24230145867098865,0.6543760129659644,0.018638573743922204,Black
13121003500,29153,Black,,2020-11-06,Atlanta,GA,30303,Fulton,Gunshot,Uncertain,2468,598,1615,46,51474,2,2,33,66,0.24230145867098865,0.6543760129659644,0.018638573743922204,Black
12091020702,29084,Hispanic/Latino,,2020-11-05,Crestview,FL,32536,Okaloosa,Gunshot,Armed,8355,5325,1321,640,75041,3,4,66,131,0.6373429084380611,0.15810891681627767,0.07660083782166367,White
40143005900,29085,White,,2020-11-05,Tulsa,OK,74116,Tulsa,Gunshot,Unarmed,2594,889,277,821,36705,1,1,12,24,0.3427139552814187,0.10678488820354665,0.3164996144949884,
48113003102,29086,Black,,2020-11-05,Dallas,TX,75202,Dallas,Gunshot,Armed,1372,1039,132,172,99659,4,5,84,167,0.7572886297376094,0.09620991253644315,0.12536443148688048,White
06111002500,29087,Hispanic/Latino,,2020-11-05,Ventura,CA,93001,Ventura,Gunshot,Armed,5101,3617,38,926,81350,3,4,72,143,0.7090766516369339,0.007449519702019212,0.18153303273867868,White
08041003306,29051,White,,2020-11-04,Colorado Springs,CO,80902,El Paso,Gunshot,Armed,3344,2938,18,263,110250,4,5,89,177,0.8785885167464115,0.005382775119617225,0.07864832535885168,White
17057953800,29052,White,,2020-11-04,Lewistown,IL,61542,Fulton,Gunshot,Armed,2561,2429,18,61,59441,2,3,46,92,0.9484576337368216,0.007028504490433424,0.023818820773135494,White
26163524200,29053,White,,2020-11-04,Detroit,MI,48209,Wayne,Gunshot,Armed,5315,1594,289,3179,34639,1,1,10,20,0.2999059266227658,0.05437441204139229,0.5981185324553151,Hispanic/Latino
53033029307,29054,White,,2020-11-04,Kent,WA,98031,King,Gunshot,Armed,4233,2619,284,166,96250,4,5,82,164,0.6187101346562721,0.06709189699976376,0.0392156862745098,White
12031000102,29082,Black,,2020-11-04,Jacksonville,FL,32208,Duval,Gunshot,Armed,3313,866,2282,143,23546,1,1,3,5,0.26139450648958645,0.6888016903108964,0.04316329610624811,Black
06067004020,29083,Black,,2020-11-04,Sacramento,CA,95831,Sacramento,Gunshot,Armed,2537,583,775,516,48933,2,2,29,58,0.22979897516752068,0.3054789121009066,0.2033898305084746,
