income_quintile,Black,White,Hispanic/Latino
1,271.6767955639121,809.0,211.97228212908587
2,310.58183203307016,873.0,249.15204901005134
3,315.70255159728003,791.0,247.0720956890223
4,330.2203435992313,590.0,227.5320899332363
5,271.6710125178442,385.0,216.78400420795998
